δ,1308,1308,4325,記号,アルファベット,*,*,*,*,δ,デルタ,デルタ
ｕ,1308,1308,-5861,記号,アルファベット,*,*,*,*,ｕ,ユー,ユー
」,1311,1311,-8708,記号,括弧閉,*,*,*,*,」,」,」
―,1309,1309,-2752,記号,一般,*,*,*,*,―,―,―
←,1309,1309,-6136,記号,一般,*,*,*,*,←,←,←
゜,1309,1309,-1977,記号,一般,*,*,*,*,゜,゜,゜
Ｘ,1308,1308,-5706,記号,アルファベット,*,*,*,*,Ｘ,エックス,エックス
Ｎ,1308,1308,-5861,記号,アルファベット,*,*,*,*,Ｎ,エヌ,エヌ
ｊ,1308,1308,-5768,記号,アルファベット,*,*,*,*,ｊ,ジェイ,ジェイ
ゞ,1309,1309,6272,記号,一般,*,*,*,*,ゞ,ゞ,ゞ
Ζ,1308,1308,2851,記号,アルファベット,*,*,*,*,Ζ,ゼータ,ゼータ
Ｒ,1308,1308,-4669,記号,アルファベット,*,*,*,*,Ｒ,アール,アール
ｒ,1308,1308,-4669,記号,アルファベット,*,*,*,*,ｒ,アール,アール
ζ,1308,1308,3007,記号,アルファベット,*,*,*,*,ζ,ゼータ,ゼータ
ω,1308,1308,1631,記号,アルファベット,*,*,*,*,ω,オメガ,オメガ
Η,1308,1308,2888,記号,アルファベット,*,*,*,*,Η,イータ,イータ
ε,1308,1308,4427,記号,アルファベット,*,*,*,*,ε,イプシロン,イプシロン
▽,1309,1309,-8090,記号,一般,*,*,*,*,▽,▽,▽
｀,1309,1309,-6133,記号,一般,*,*,*,*,｀,｀,｀
Ｈ,1308,1308,-5828,記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ
Ｈ,1308,1308,-5801,記号,アルファベット,*,*,*,*,Ｈ,エッチ,エッチ
β,1308,1308,2835,記号,アルファベット,*,*,*,*,β,ベータ,ベータ
＼,1309,1309,-6133,記号,一般,*,*,*,*,＼,＼,＼
Ｉ,1308,1308,-5234,記号,アルファベット,*,*,*,*,Ｉ,アイ,アイ
仝,1309,1309,4105,記号,一般,*,*,*,*,仝,仝,仝
＜,1312,1312,-3861,記号,括弧開,*,*,*,*,＜,＜,＜
γ,1308,1308,1966,記号,アルファベット,*,*,*,*,γ,ガンマ,ガンマ
£,1309,1309,-5953,記号,一般,*,*,*,*,£,ポンド,ポンド
ν,1308,1308,2840,記号,アルファベット,*,*,*,*,ν,ニュー,ニュー
τ,1308,1308,3352,記号,アルファベット,*,*,*,*,τ,タウ,タウ
￥,1309,1309,-5866,記号,一般,*,*,*,*,￥,エン,エン
χ,1308,1308,6798,記号,アルファベット,*,*,*,*,χ,カイ,カイ
‥,1309,1309,-6207,記号,一般,*,*,*,*,‥,‥,‥
□,1309,1309,-6197,記号,一般,*,*,*,*,□,□,□
【,1312,1312,-4304,記号,括弧開,*,*,*,*,【,【,【
Ｂ,1308,1308,-5861,記号,アルファベット,*,*,*,*,Ｂ,ビー,ビー
ヾ,1309,1309,6948,記号,一般,*,*,*,*,ヾ,ヾ,ヾ
↓,1309,1309,-6219,記号,一般,*,*,*,*,↓,↓,↓
Υ,1308,1308,2599,記号,アルファベット,*,*,*,*,Υ,ウプシロン,ウプシロン
（,1312,1312,-3861,記号,括弧開,*,*,*,*,（,（,（
＄,1309,1309,-6126,記号,一般,*,*,*,*,＄,ドル,ドル
Π,1308,1308,2869,記号,アルファベット,*,*,*,*,Π,パイ,パイ
――,1309,1309,-9086,記号,一般,*,*,*,*,――,――,――
ｈ,1308,1308,-5801,記号,アルファベット,*,*,*,*,ｈ,エッチ,エッチ
ｈ,1308,1308,-5828,記号,アルファベット,*,*,*,*,ｈ,エイチ,エイチ
※,1309,1309,-6301,記号,一般,*,*,*,*,※,※,※
η,1308,1308,3000,記号,アルファベット,*,*,*,*,η,イータ,イータ
×,1309,1309,-15343,記号,一般,*,*,*,*,×,カケル,カケル
×,1309,1309,-7207,記号,一般,*,*,*,*,×,バイ,バイ
×,1309,1309,-8389,記号,一般,*,*,*,*,×,バツ,バツ
ξ,1308,1308,4955,記号,アルファベット,*,*,*,*,ξ,クシー,クシー
〆,1309,1309,-6135,記号,一般,*,*,*,*,〆,〆,〆
ο,1308,1308,2280,記号,アルファベット,*,*,*,*,ο,オミクロン,オミクロン
）,1311,1311,-7717,記号,括弧閉,*,*,*,*,）,）,）
Ｕ,1308,1308,-5861,記号,アルファベット,*,*,*,*,Ｕ,ユー,ユー
Κ,1308,1308,2708,記号,アルファベット,*,*,*,*,Κ,カッパ,カッパ
゛,1309,1309,2604,記号,一般,*,*,*,*,゛,゛,゛
υ,1308,1308,2431,記号,アルファベット,*,*,*,*,υ,ウプシロン,ウプシロン
［,1312,1312,-3861,記号,括弧開,*,*,*,*,［,［,［
ｐ,1308,1308,-5861,記号,アルファベット,*,*,*,*,ｐ,ピー,ピー
Ε,1308,1308,3725,記号,アルファベット,*,*,*,*,Ε,イプシロン,イプシロン
‐,1309,1309,-4780,記号,一般,*,*,*,*,‐,‐,‐
ｄ,1308,1308,-5861,記号,アルファベット,*,*,*,*,ｄ,ディー,ディー
′,1309,1309,-6194,記号,一般,*,*,*,*,′,′,′
》,1311,1311,-7735,記号,括弧閉,*,*,*,*,》,》,》
￣,1309,1309,-6133,記号,一般,*,*,*,*,￣,￣,￣
Θ,1308,1308,2634,記号,アルファベット,*,*,*,*,Θ,シータ,シータ
《,1312,1312,-3890,記号,括弧開,*,*,*,*,《,《,《
